"#Time along first column, position along first row. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (day)\Position (micrometers),0,30,60,90,120,150,180,210,240,270,300,330,360,390,420,450,480,510,540,570,600,630,660,690,720,750,780,810,840,870,900,930,960,990,1020,1050,1080,1110,1140,1170,1200
30,0.596398636,0.594629527,0.590809574,0.584213359,0.573554852,0.557014005,0.532413835,0.497582994,0.450984015,0.392639455,0.325098665,0.253760196,0.185761098,0.127544707,0.082604683,0.050951721,0.030267034,0.017493652,0.009908603,0.005517201,0.003020722,0.001627302,0.000864348,0.000450466,0.000224575,0.000103177,4.24E-05,1.54E-05,4.93E-06,1.40E-06,3.53E-07,8.02E-08,1.65E-08,3.10E-09,5.36E-10,8.56E-11,1.27E-11,1.76E-12,2.28E-13,2.78E-14,3.55E-15
31,0.596280518,0.594494214,0.590630941,0.583961688,0.573210402,0.556582073,0.531939396,0.49716095,0.450754965,0.392755864,0.325658861,0.254738801,0.186993848,0.12879926,0.083688694,0.05177541,0.030833641,0.017855451,0.010128037,0.005646319,0.003095509,0.00166993,0.000887941,0.000463188,0.000231636,0.00010726,4.47E-05,1.65E-05,5.40E-06,1.57E-06,4.07E-07,9.50E-08,2.01E-08,3.90E-09,6.94E-10,1.14E-10,1.75E-11,2.49E-12,3.34E-13,4.21E-14,5.55E-15
32,0.596161245,0.594357223,0.590450522,0.583709093,0.572866891,0.556153647,0.531470931,0.496745757,0.450530217,0.3928699,0.3262079,0.255699923,0.188209125,0.130042278,0.08476893,0.05260102,0.031404678,0.018221845,0.010351119,0.005777909,0.003171808,0.001713449,0.000912084,0.000476258,0.000238877,0.000111424,4.70E-05,1.77E-05,5.90E-06,1.75E-06,4.66E-07,1.12E-07,2.44E-08,4.85E-09,8.88E-10,1.50E-10,2.37E-11,3.49E-12,4.81E-13,6.25E-14,8.54E-15
33,0.596040782,0.594218582,0.59026838,0.583455635,0.572524353,0.555728697,0.531008317,0.496337221,0.450309629,0.392981646,0.326746158,0.256644064,0.18940727,0.131273794,0.085845203,0.053428331,0.031979998,0.018592767,0.010577839,0.005911989,0.003249643,0.001757879,0.000936788,0.000489681,0.000246305,0.000115671,4.94E-05,1.89E-05,6.42E-06,1.95E-06,5.31E-07,1.31E-07,2.92E-08,5.98E-09,1.13E-09,1.96E-10,3.18E-11,4.81E-12,6.84E-13,9.15E-14,1.29E-14
34,0.595919102,0.594078317,0.590084577,0.583201375,0.572182818,0.555307193,0.530551434,0.495935156,0.450093068,0.393091185,0.327273993,0.257571707,0.190588617,0.132493848,0.08691734,0.054257129,0.032559451,0.018968148,0.010808182,0.006048572,0.003329036,0.001803239,0.000962063,0.000503458,0.000253922,0.000120007,5.18E-05,2.01E-05,6.96E-06,2.16E-06,6.02E-07,1.52E-07,3.48E-08,7.31E-09,1.41E-09,2.53E-10,4.22E-11,6.57E-12,9.59E-13,1.32E-13,1.92E-14
35,0.595796179,0.593936453,0.589899171,0.582946371,0.571842317,0.554889103,0.530100164,0.495539382,0.449880406,0.393198591,0.327791746,0.258483319,0.191753497,0.133702489,0.087985179,0.055087207,0.033142891,0.01934792,0.011042135,0.006187673,0.003410008,0.001849545,0.000987918,0.000517594,0.000261734,0.000124435,5.42E-05,2.13E-05,7.53E-06,2.38E-06,6.79E-07,1.75E-07,4.12E-08,8.87E-09,1.76E-09,3.24E-10,5.54E-11,8.86E-12,1.33E-12,1.88E-13,2.83E-14
36,0.595671992,0.593793013,0.589712219,0.582690681,0.571502877,0.554474394,0.529654392,0.495149727,0.449671519,0.393303938,0.328299744,0.259379346,0.192902233,0.134899774,0.089048569,0.055918363,0.03373017,0.019732011,0.01127968,0.006329302,0.00349258,0.001896817,0.001014363,0.000532093,0.000269744,0.00012896,5.68E-05,2.26E-05,8.12E-06,2.62E-06,7.62E-07,2.01E-07,4.84E-08,1.07E-08,2.17E-09,4.10E-10,7.20E-11,1.18E-11,1.82E-12,2.65E-13,4.09E-14
37,0.595546522,0.593648021,0.589523775,0.582434358,0.571164523,0.554063031,0.529214004,0.494766024,0.449466292,0.393407295,0.328798298,0.260260221,0.194035143,0.136085765,0.090107368,0.056750402,0.034321142,0.020120347,0.011520801,0.006473472,0.003576773,0.001945071,0.001041407,0.000546958,0.000277956,0.000133585,5.93E-05,2.40E-05,8.73E-06,2.87E-06,8.52E-07,2.30E-07,5.65E-08,1.28E-08,2.66E-09,5.15E-10,9.27E-11,1.56E-11,2.47E-12,3.68E-13,5.86E-14
38,0.595419751,0.593501498,0.589333891,0.582177456,0.57082728,0.55365498,0.528778891,0.494388114,0.449264612,0.393508728,0.329287704,0.261126357,0.195152538,0.137260531,0.091161446,0.057583136,0.034915662,0.020512855,0.011765476,0.006620192,0.003662607,0.001994325,0.001069062,0.000562196,0.000286376,0.000138314,6.19E-05,2.53E-05,9.37E-06,3.13E-06,9.48E-07,2.61E-07,6.57E-08,1.52E-08,3.24E-09,6.41E-10,1.18E-10,2.04E-11,3.31E-12,5.06E-13,8.29E-14
39,0.595291666,0.593353467,0.589142618,0.581920025,0.570491169,0.553250207,0.528348947,0.494015844,0.449066372,0.393608298,0.329768246,0.261978154,0.196254724,0.138424146,0.092210683,0.05841638,0.035513588,0.020909458,0.012013685,0.006769469,0.003750099,0.002044596,0.001097338,0.00057781,0.000295006,0.00014315,6.46E-05,2.67E-05,1.00E-05,3.41E-06,1.05E-06,2.95E-07,7.59E-08,1.79E-08,3.91E-09,7.92E-10,1.50E-10,2.65E-11,4.39E-12,6.89E-13,1.16E-13
40,0.595162256,0.593203948,0.588950003,0.581662112,0.570156211,0.552848675,0.527924064,0.493649065,0.448871471,0.393706067,0.330240196,0.262815998,0.197342,0.139576689,0.093254966,0.05924996,0.036114776,0.021310081,0.012265404,0.006921311,0.003839267,0.0020959,0.001126244,0.000593807,0.000303852,0.000148097,6.74E-05,2.81E-05,1.07E-05,3.70E-06,1.16E-06,3.33E-07,8.72E-08,2.10E-08,4.70E-09,9.73E-10,1.88E-10,3.40E-11,5.78E-12,9.28E-13,1.60E-13
