"#Time along first column, position along first row. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (day)/Position,0,30,60,90,120,150,180,210,240,270,300,330,360,390,420,450,480,510,540,570,600,630,660,690,720,750,780,810,840,870,900,930,960
0.6,0.98189737,0.97507213,0.961656755,0.94285028,0.923781465,0.908036465,0.89608227,0.88598563,0.879311165,0.872248015,0.86587872,0.860516995,0.85048929,0.83840001,0.82569667,0.80904704,0.77717376,0.675285265,0.389752915,0.09324358,0.006593425,0.000250785,0,0,0,0,0,0,0,0,0,0,0
0.6125,0.981919095,0.975084305,0.961684885,0.942890555,0.92387177,0.908166955,0.896154985,0.8860957,0.87945429,0.87230521,0.866057375,0.86059948,0.85070945,0.838582345,0.825857,0.809433015,0.77802881,0.677752055,0.39544642,0.096264705,0.00696778,0.000250845,0,0,0,0,0,0,0,0,0,0,0
0.625,0.981946785,0.97509151,0.961691155,0.94293851,0.924005185,0.9081639,0.896302415,0.8862223,0.87957182,0.87238442,0.866250685,0.860708005,0.85079522,0.838893275,0.826043285,0.80969045,0.77881375,0.68043852,0.401273295,0.09903745,0.007224545,0.00025096,0,0,0,0,0,0,0,0,0,0,0
0.6375,0.981932835,0.9751434,0.961683625,0.943030375,0.924051295,0.908274085,0.89637628,0.886339885,0.879731255,0.872483465,0.866431115,0.86084049,0.85089621,0.83908536,0.826265075,0.80998072,0.779552185,0.68310639,0.406937565,0.1019611,0.00747492,0.000284525,0,0,0,0,0,0,0,0,0,0,0
0.65,0.981943885,0.975173235,0.961743755,0.943095955,0.92408131,0.90843063,0.896456715,0.886526195,0.87979509,0.872688,0.866558075,0.86104096,0.850986215,0.83917137,0.82645331,0.81030601,0.780384675,0.68548433,0.412702735,0.1055271,0.007833385,0.00030131,0,0,0,0,0,0,0,0,0,0,0
0.6625,0.98189936,0.975168905,0.961761255,0.943166765,0.924159435,0.908485885,0.89654819,0.886698525,0.87980958,0.87285104,0.86667271,0.86119053,0.851122695,0.83946591,0.82653103,0.81059054,0.781228085,0.688079535,0.418104045,0.1091669,0.008147665,0.000317695,0,0,0,0,0,0,0,0,0,0,0
0.675,0.98190001,0.97519738,0.96179936,0.943253515,0.92418424,0.908615645,0.896650395,0.886770605,0.87996593,0.87287894,0.86681404,0.86126708,0.85126231,0.83962432,0.826734615,0.81094564,0.781893465,0.690601325,0.42345766,0.112225155,0.00861687,0.000384715,0,0,0,0,0,0,0,0,0,0,0
0.6875,0.98184943,0.97523678,0.961782315,0.94331625,0.92432617,0.908673645,0.896769665,0.886925585,0.88001785,0.873059435,0.86694581,0.86132964,0.851401055,0.8397675,0.827025745,0.81116373,0.782745075,0.693106705,0.42880275,0.11569391,0.009033615,0.0004345,0,0,0,0,0,0,0,0,0,0,0
0.7,0.98185126,0.975263975,0.961788595,0.943375525,0.92439044,0.908792015,0.89691901,0.88702939,0.88014442,0.873156935,0.86710477,0.861499495,0.85153795,0.83990542,0.82725845,0.81146422,0.78345817,0.69541996,0.43443269,0.119091075,0.009539065,0.00048491,0,0,0,0,0,0,0,0,0,0,0
0.7125,0.9818809,0.975225945,0.96184702,0.943467035,0.924490495,0.908831215,0.89704919,0.88715169,0.880275325,0.873260235,0.867182655,0.861666945,0.85163939,0.840176925,0.82746774,0.811727955,0.784192495,0.697574905,0.439981145,0.122207915,0.01022292,0.00050135,0,0,0,0,0,0,0,0,0,0,0
0.725,0.98185009,0.975266335,0.961865865,0.94355895,0.924572035,0.90891082,0.89722314,0.8872113,0.88049772,0.87336235,0.86731487,0.861852265,0.851746105,0.840387825,0.82765373,0.812047985,0.784994335,0.699653455,0.44531276,0.12561692,0.010517895,0.0005354,0,0,0,0,0,0,0,0,0,0,0
0.7375,0.98187409,0.97528733,0.96183959,0.943635265,0.924611595,0.909040165,0.89742846,0.88726736,0.880618735,0.87351411,0.867404985,0.8620161,0.851908645,0.840504545,0.82788921,0.812355265,0.785700475,0.70180509,0.450767785,0.129111665,0.01097902,0.000568585,0,0,0,0,0,0,0,0,0,0,0
